Order_ID,Order_Date,Segment,Region,City,Category,Sub_Category,Quantity,Sales,Discount,Profit,Shipping_Days
ORD-10927,2024-05-15,Consumer,West,Ahmedabad,Office Supplies,Binders,6.0,1299.29,0.4,-1.41,4
ORD-10328,2024-02-19,Home Office,West,Surat,Furniture,Chairs,7.0,1155.83,0.15,38.71,1
ORD-11111,2023-08-21,Home Office,South,Bengaluru,Technology,Machines,1.0,698.64,0.15,87.69,5
ORD-11023,2023-02-04,Home Office,North,Delhi,Office Supplies,Paper,6.0,767.29,0.15,41.94,5
ORD-10218,2023-06-20,Corporate,South,Bengaluru,Office Supplies,Storage,2.0,141.51,0.1,14.92,4
ORD-10296,2024-02-01,Home Office,East,Guwahati,Office Supplies,Paper,3.0,650.56,0.15,53.28,7
ORD-10989,2024-03-12,Consumer,West,Pune,Office Supplies,Art,5.0,569.78,0.15,18.39,4
ORD-10937,2024-10-21,Home Office,East,Guwahati,Furniture,Tables,6.0,368.82,0.1,33.82,3
ORD-10231,2023-11-01,Home Office,South,Chennai,Office Supplies,Paper,1.0,262.71,0.0,39.34,4
ORD-10762,2023-02-16,Consumer,South,Bengaluru,Office Supplies,Art,3.0,731.79,0.15,61.34,7
ORD-10945,2024-03-26,Consumer,West,,Office Supplies,Paper,4.0,1015.63,0.3,31.28,1
ORD-11114,2025-05-15,Corporate,South,Hyderabad,Office Supplies,Paper,,1239.43,0.0,206.89,1
ORD-10051,2023-06-29,Corporate,East,Patna,Furniture,Tables,6.0,2978.37,0.05,322.7,5
ORD-10785,2023-06-03,Home Office,East,Bhubaneswar,Furniture,Tables,3.0,1117.05,0.15,-19.97,3
ORD-10938,2023-09-14,Home Office,East,Kolkata,Office Supplies,Paper,7.0,350.04,0.2,-4.63,5
ORD-10914,2023-11-10,Consumer,North,Lucknow,Technology,Accessories,6.0,2763.49,0.0,500.64,5
ORD-10893,2024-04-14,Home Office,West,Pune,Technology,Machines,5.0,2981.13,0.15,390.72,3
ORD-11164,2024-10-08,Corporate,West,Ahmedabad,Technology,Machines,6.0,2312.71,0.2,82.23,5
ORD-10109,2023-05-29,Home Office,North,Chandigarh,Technology,Phones,6.0,3886.23,0.0,917.37,7
ORD-10617,2023-11-22,Corporate,East,Bhubaneswar,Technology,Phones,6.0,1757.29,0.05,204.42,1
ORD-10123,2024-08-14,Home Office,South,Kochi,Office Supplies,Binders,5.0,940.25,0.1,96.52,1
ORD-10054,2025-01-24,Corporate,North,Lucknow,Technology,Machines,4.0,3009.55,0.0,488.86,4
ORD-10969,2024-08-07,Home Office,East,Guwahati,Technology,Machines,7.0,6803.09,0.2,429.17,5
ORD-11168,2024-05-16,Consumer,West,Mumbai,Office Supplies,Storage,1.0,150.47,0.4,-19.92,2
ORD-10128,2025-03-26,Home Office,South,Kochi,Technology,Phones,5.0,2749.66,0.3,92.92,4
ORD-10056,2023-06-01,Corporate,West,Mumbai,Technology,Accessories,6.0,5268.83,0.15,608.82,4
ORD-10086,2024-08-28,Home Office,South,Chennai,Technology,Accessories,3.0,1965.1,0.15,283.5,5
ORD-10628,2023-11-03,Home Office,North,Lucknow,Office Supplies,Storage,5.0,816.37,0.0,159.38,5
ORD-10924,2023-05-04,Corporate,South,Kochi,Office Supplies,Paper,3.0,293.0,0.05,46.42,2
ORD-10275,2025-04-01,Corporate,North,Delhi,Office Supplies,Storage,7.0,1765.17,0.4,-32.12,3
ORD-11180,2024-06-23,Home Office,West,Mumbai,Office Supplies,Art,2.0,248.44,0.2,21.01,5
ORD-10467,2024-07-05,Corporate,North,Chandigarh,Furniture,Bookcases,4.0,1517.26,0.0,96.53,5
ORD-10170,2024-04-18,Consumer,West,Mumbai,Technology,Phones,8.0,5219.26,0.1,347.12,2
ORD-10879,2023-07-22,Home Office,South,Bengaluru,Technology,Phones,4.0,1932.91,0.1,273.9,6
ORD-10778,2024-11-03,Consumer,East,Guwahati,Office Supplies,Binders,3.0,101.32,0.15,9.53,5
ORD-10591,2023-04-09,Home Office,South,Chennai,Furniture,Bookcases,2.0,573.81,0.0,69.92,1
ORD-10862,2025-05-26,Consumer,East,Kolkata,Office Supplies,Paper,3.0,386.7,0.15,40.63,6
ORD-10793,2023-08-24,Home Office,East,Guwahati,Technology,Accessories,2.0,1441.38,0.05,215.0,7
ORD-10398,2023-07-22,Corporate,West,Ahmedabad,Office Supplies,Paper,1.0,75.37,0.0,12.55,4
ORD-10978,2024-05-25,Home Office,West,Pune,Technology,Accessories,6.0,1766.85,0.0,360.39,7
ORD-10894,2025-05-25,Consumer,South,Bengaluru,Furniture,Tables,,954.02,0.4,-71.25,4
ORD-10732,2024-05-26,Corporate,East,Guwahati,Office Supplies,Binders,3.0,54.31,0.0,10.72,1
ORD-10890,2023-07-31,Home Office,West,Mumbai,Technology,Phones,4.0,2878.48,0.05,441.64,5
ORD-11074,2023-02-27,Home Office,West,Surat,Technology,Machines,4.0,1516.93,0.2,119.31,5
ORD-10717,2023-08-27,Consumer,East,Kolkata,Office Supplies,Art,4.0,587.56,0.4,-49.69,5
ORD-11161,2023-02-13,Corporate,West,Pune,Furniture,Tables,3.0,1462.69,0.05,96.3,5
ORD-11075,2024-11-26,Corporate,North,Delhi,Office Supplies,Binders,2.0,186.83,0.05,34.4,3
ORD-10425,2024-03-23,Corporate,South,Hyderabad,Technology,Accessories,3.0,1216.67,0.4,-125.04,6
ORD-10535,2024-09-07,Consumer,West,Surat,Furniture,Chairs,6.0,3109.39,0.3,-211.21,5
ORD-10567,2024-11-20,Consumer,East,Patna,Technology,Accessories,4.0,813.32,0.2,74.17,6
ORD-10536,2023-05-31,Home Office,East,Guwahati,Furniture,Bookcases,7.0,1715.73,0.3,-128.03,3
ORD-10694,2024-04-09,Home Office,South,Bengaluru,Technology,Machines,4.0,785.99,0.0,185.95,1
ORD-10376,2024-12-23,Consumer,North,Lucknow,Office Supplies,Binders,6.0,681.06,0.3,-38.85,6
ORD-10286,2024-01-10,Corporate,West,,Furniture,Bookcases,6.0,1077.48,0.2,9.78,7
ORD-10789,2024-05-08,Corporate,East,Kolkata,Office Supplies,Art,5.0,1151.08,0.1,181.43,4
ORD-10756,2023-01-06,Home Office,North,Delhi,Furniture,Tables,8.0,5684.91,0.1,374.72,3
ORD-10233,2025-02-22,Consumer,West,Pune,Office Supplies,Paper,3.0,281.64,0.1,35.42,5
ORD-10355,2024-05-27,Home Office,West,Surat,Furniture,Chairs,8.0,2162.19,0.4,-284.31,4
ORD-10602,2024-07-12,Home Office,West,Surat,Office Supplies,Binders,8.0,1531.89,0.1,139.12,3
ORD-11039,2023-10-27,Home Office,East,Kolkata,Technology,Machines,8.0,4618.39,0.15,501.23,2
ORD-10427,2024-07-03,Corporate,North,Chandigarh,Office Supplies,Storage,3.0,595.83,0.0,97.51,2
ORD-10583,2023-08-25,Corporate,North,Jaipur,Office Supplies,Paper,8.0,628.14,0.15,74.56,1
ORD-10843,2024-02-21,Consumer,South,Hyderabad,Office Supplies,Paper,8.0,1249.39,0.1,120.88,7
ORD-11167,2025-05-18,Corporate,South,Bengaluru,Furniture,Bookcases,5.0,627.33,0.15,18.02,4
ORD-11009,2023-08-05,Home Office,South,Kochi,Technology,Accessories,8.0,3997.95,0.4,-58.62,5
ORD-10714,2024-03-25,Home Office,South,Chennai,Office Supplies,Paper,3.0,338.34,0.2,19.15,6
ORD-10266,2023-01-16,Home Office,East,Patna,Office Supplies,Storage,5.0,1230.52,0.2,58.22,3
ORD-10199,2023-01-21,Home Office,South,Bengaluru,Technology,Phones,6.0,1593.9,0.0,312.06,2
ORD-10174,2023-02-02,Corporate,South,Kochi,Furniture,Bookcases,3.0,511.44,0.2,9.17,2
ORD-10842,2024-07-24,Home Office,North,Lucknow,Furniture,Bookcases,5.0,859.33,0.4,-63.91,6
ORD-10147,2024-09-06,Home Office,South,Bengaluru,Technology,Phones,8.0,2428.34,0.05,464.85,5
ORD-10746,2024-06-02,Consumer,South,Hyderabad,Office Supplies,Binders,8.0,650.94,0.4,-74.5,6
ORD-10944,2023-01-30,Consumer,East,Bhubaneswar,Office Supplies,Paper,1.0,114.56,0.0,11.71,6
ORD-10752,2025-04-29,Consumer,North,Jaipur,Office Supplies,Storage,1.0,117.38,0.0,19.14,2
ORD-10948,2024-11-24,Corporate,West,Pune,Furniture,Bookcases,,1009.97,0.0,131.8,1
ORD-11092,2025-01-04,Consumer,South,Bengaluru,Office Supplies,Paper,6.0,1250.15,0.15,110.15,1
ORD-10716,2025-05-04,Corporate,North,Chandigarh,Office Supplies,Art,8.0,877.72,0.15,55.83,6
ORD-10977,2024-05-27,Home Office,North,Jaipur,Office Supplies,Art,3.0,210.64,,26.4,3
ORD-10618,2025-02-07,Corporate,South,Bengaluru,Technology,Phones,6.0,1023.08,0.15,82.09,5
ORD-10626,2024-09-25,Consumer,West,Pune,Furniture,Tables,8.0,1852.27,0.05,167.26,3
ORD-10394,2024-02-16,Consumer,West,Surat,Furniture,Chairs,7.0,3745.68,0.1,287.41,2
ORD-11049,2023-12-19,Corporate,West,,Office Supplies,Storage,3.0,254.16,0.1,26.77,4
ORD-10168,2024-09-10,Consumer,West,Pune,Technology,Machines,3.0,2065.41,0.05,335.14,7
ORD-10209,2024-04-11,Corporate,North,Delhi,Technology,Machines,6.0,1874.76,0.1,245.56,6
ORD-10560,2024-09-25,Corporate,South,Kochi,Office Supplies,Paper,3.0,559.76,0.05,67.81,5
ORD-10135,2025-06-03,Corporate,South,Bengaluru,Furniture,Chairs,4.0,1674.51,0.15,5.9,3
ORD-10184,2023-11-15,Home Office,North,Lucknow,Office Supplies,Art,1.0,132.83,0.4,-22.46,6
ORD-10899,2024-09-06,Home Office,South,Kochi,Office Supplies,Art,3.0,228.2,0.05,27.06,4
ORD-10333,2023-04-27,Home Office,North,Jaipur,Office Supplies,Paper,8.0,1456.85,0.4,-191.63,3
ORD-10839,2023-11-09,Consumer,East,Bhubaneswar,Office Supplies,Binders,5.0,1038.85,0.3,54.64,4
ORD-10158,2024-02-24,Consumer,South,Hyderabad,Office Supplies,Storage,4.0,265.04,0.0,44.97,2
ORD-10140,2023-06-21,Corporate,North,Lucknow,Office Supplies,Art,7.0,1189.58,0.1,162.15,2
ORD-10736,2023-01-06,Corporate,East,Kolkata,Office Supplies,Binders,5.0,841.59,0.4,-66.69,1
ORD-10471,2025-06-29,Corporate,West,Surat,Technology,Accessories,7.0,2347.78,0.0,447.23,6
ORD-10435,2024-12-17,Corporate,South,Bengaluru,Furniture,Bookcases,1.0,302.78,0.05,25.23,3
ORD-11133,2023-05-12,Consumer,East,Bhubaneswar,Technology,Phones,1.0,253.23,0.2,20.53,4
ORD-10247,2025-03-22,Home Office,North,Lucknow,Office Supplies,Storage,2.0,276.91,0.2,11.41,2
ORD-10380,2025-05-29,Corporate,South,Hyderabad,Furniture,Chairs,3.0,1282.18,0.1,58.99,6
ORD-11152,2024-01-05,Corporate,East,Bhubaneswar,Office Supplies,Art,4.0,634.98,0.3,-22.99,5
ORD-10665,2023-03-26,Home Office,East,Bhubaneswar,Furniture,Chairs,4.0,987.12,0.2,-33.67,4
ORD-10344,2025-01-17,Corporate,East,Kolkata,Office Supplies,Storage,5.0,636.47,0.1,71.42,1
ORD-11140,2023-09-06,Corporate,North,Chandigarh,Office Supplies,Storage,2.0,340.82,0.15,28.48,6
ORD-10362,2024-09-11,Corporate,North,Delhi,Furniture,Bookcases,1.0,516.13,0.3,-58.13,1
ORD-10208,2025-02-15,Corporate,West,Surat,Furniture,Bookcases,2.0,444.66,0.4,-58.68,4
ORD-10980,2024-07-22,Corporate,East,Bhubaneswar,Office Supplies,Binders,1.0,20.54,0.15,0.28,6
ORD-10788,2025-05-29,Consumer,West,Mumbai,Office Supplies,Storage,3.0,664.12,0.15,55.21,5
ORD-10163,2024-07-22,Home Office,South,Chennai,Furniture,Bookcases,2.0,1238.33,0.1,1.14,5
ORD-10479,2023-07-13,Consumer,East,Patna,Office Supplies,Art,2.0,165.9,0.0,27.98,4
ORD-10961,2023-02-14,Home Office,South,Hyderabad,Furniture,Chairs,1.0,268.53,0.15,9.11,4
ORD-10156,2025-03-28,Home Office,East,,Furniture,Bookcases,4.0,1265.2,0.3,-129.89,4
ORD-10327,2025-06-28,Consumer,South,Hyderabad,Office Supplies,Storage,6.0,738.08,0.0,129.18,2
ORD-10352,2023-04-16,Home Office,South,Chennai,Technology,Accessories,5.0,530.09,0.1,69.31,4
ORD-10220,2023-02-05,Consumer,North,Chandigarh,Furniture,Bookcases,6.0,2004.38,0.05,168.17,7
ORD-10196,2024-04-27,Home Office,South,Kochi,Technology,Machines,4.0,2871.53,0.1,268.98,5
ORD-10965,2024-08-03,Consumer,West,Ahmedabad,Office Supplies,Art,5.0,1000.65,0.1,124.91,4
ORD-10666,2025-05-20,Consumer,South,Kochi,Office Supplies,Paper,8.0,1473.66,0.2,10.03,3
ORD-10294,2024-12-03,Consumer,West,Mumbai,Office Supplies,Paper,7.0,1743.07,0.0,260.09,5
ORD-10198,2023-06-22,Consumer,South,Bengaluru,Technology,Phones,4.0,3059.59,0.05,411.07,7
ORD-11003,2024-08-14,Consumer,East,Kolkata,Office Supplies,Paper,5.0,255.87,0.0,37.87,1
ORD-10939,2025-05-10,Consumer,South,Kochi,Office Supplies,Storage,2.0,66.39,0.2,-0.3,6
ORD-11084,2024-06-13,Consumer,West,Surat,Technology,Accessories,7.0,1541.57,0.05,218.44,6
ORD-11019,2024-06-20,Home Office,North,Jaipur,Technology,Accessories,1.0,823.61,0.05,146.77,6
ORD-10529,2023-05-18,Home Office,North,Jaipur,Office Supplies,Art,7.0,424.74,0.05,45.3,2
ORD-10290,2025-04-18,Consumer,East,Patna,Office Supplies,Storage,7.0,225.67,0.0,39.55,1
ORD-10485,2024-04-06,Consumer,North,Jaipur,Furniture,Tables,4.0,1418.74,0.4,-240.33,5
ORD-10987,2024-01-27,Corporate,East,Patna,Office Supplies,Paper,5.0,1178.61,0.15,55.44,4
ORD-10578,2023-12-31,Home Office,East,Bhubaneswar,Technology,Accessories,4.0,2977.51,0.0,623.74,3
ORD-10873,2024-12-01,Corporate,South,Kochi,Technology,Phones,3.0,754.16,0.3,-55.24,1
ORD-10526,2024-04-29,Home Office,West,Pune,Technology,Accessories,5.0,1321.91,0.0,261.4,4
ORD-10096,2023-10-05,Corporate,East,Kolkata,Technology,Phones,8.0,3751.1,0.3,-86.1,1
ORD-10464,2023-01-03,Corporate,West,Ahmedabad,Technology,Accessories,3.0,1408.68,0.0,388.22,2
ORD-10845,2024-11-17,Home Office,North,Chandigarh,Office Supplies,Binders,,1200.71,0.1,106.98,7
ORD-10178,2024-12-26,Corporate,South,,Technology,Accessories,3.0,2776.38,0.3,-223.79,5
ORD-10031,2025-01-30,Corporate,West,Surat,Office Supplies,Storage,6.0,1052.19,0.15,114.09,3
ORD-10442,2023-07-04,Consumer,East,Kolkata,Furniture,Chairs,6.0,2914.28,0.1,153.88,1
ORD-11185,2025-04-13,Corporate,North,Delhi,Office Supplies,Paper,5.0,158.03,0.05,25.9,2
ORD-10513,2024-04-22,Consumer,West,Ahmedabad,Technology,Phones,6.0,2780.11,0.05,523.32,5
ORD-10760,2024-06-02,Consumer,West,Surat,Office Supplies,Paper,8.0,675.47,0.3,-50.63,1
ORD-10244,2023-08-28,Home Office,North,Jaipur,Technology,Accessories,3.0,2432.89,0.0,365.9,2
ORD-10332,2025-05-29,Consumer,South,Bengaluru,Office Supplies,Paper,1.0,47.07,0.15,3.98,4
ORD-10631,2024-02-11,Home Office,West,Ahmedabad,Office Supplies,Art,6.0,77.42,0.0,12.19,6
ORD-10323,2023-08-06,Consumer,West,Mumbai,Office Supplies,Binders,7.0,1515.75,0.15,89.75,1
ORD-10088,2024-04-19,Corporate,West,Mumbai,Office Supplies,Binders,3.0,284.31,0.3,-1.79,3
ORD-11026,2024-09-24,Corporate,West,Surat,Office Supplies,Paper,4.0,117.06,0.2,1.25,2
ORD-10381,2024-03-06,Corporate,West,Pune,Office Supplies,Art,6.0,293.91,0.4,-26.92,1
ORD-10365,2023-09-16,Corporate,East,Bhubaneswar,Furniture,Tables,5.0,1848.48,0.3,-196.36,5
ORD-10490,2025-01-09,Home Office,South,Bengaluru,Furniture,Tables,6.0,1854.4,0.05,140.93,6
ORD-11118,2024-03-30,Consumer,East,Guwahati,Furniture,Tables,8.0,4331.52,0.05,318.96,4
ORD-10941,2023-05-19,Consumer,East,Guwahati,Technology,Accessories,5.0,1347.07,0.2,117.2,4
ORD-10413,2024-01-04,Corporate,East,Guwahati,Office Supplies,Binders,5.0,93.15,0.05,12.88,1
ORD-10634,2024-02-18,Home Office,East,Bhubaneswar,Furniture,Chairs,4.0,275.64,0.4,-40.97,5
ORD-10589,2025-06-04,Corporate,North,Chandigarh,Office Supplies,Art,3.0,518.27,0.05,82.19,1
ORD-10743,2025-05-05,Corporate,North,Jaipur,Office Supplies,Paper,,261.61,0.3,-22.51,6
ORD-10462,2024-12-10,Home Office,South,Hyderabad,Technology,Machines,7.0,5520.87,0.0,1255.47,4
ORD-10548,2024-05-26,Consumer,North,Delhi,Technology,Phones,3.0,425.43,0.1,56.97,3
ORD-10363,2024-03-05,Home Office,North,Lucknow,Office Supplies,Storage,7.0,1843.66,0.0,400.0,1
ORD-10724,2024-07-02,Consumer,West,Pune,Technology,Machines,7.0,5746.66,0.15,324.73,5
ORD-10534,2024-01-15,Corporate,North,Lucknow,Office Supplies,Paper,8.0,1761.57,0.1,104.47,1
ORD-10010,2023-03-21,Home Office,East,Guwahati,Furniture,Tables,8.0,1234.43,0.3,-133.84,2
ORD-10986,2025-01-15,Consumer,East,Kolkata,Office Supplies,Storage,3.0,173.0,0.15,7.38,2
ORD-10420,2024-10-15,Consumer,East,,Technology,Accessories,6.0,2473.15,0.05,330.71,6
ORD-10243,2025-02-07,Consumer,South,Kochi,Technology,Machines,3.0,854.7,0.2,50.35,1
ORD-10059,2023-10-29,Corporate,East,Patna,Office Supplies,Art,7.0,160.91,0.15,14.77,6
ORD-11073,2024-11-10,Home Office,East,Bhubaneswar,Technology,Phones,1.0,712.05,0.2,65.0,6
ORD-10063,2024-08-15,Corporate,West,Surat,Office Supplies,Paper,8.0,1755.47,,246.79,5
ORD-10432,2024-12-01,Home Office,West,Surat,Furniture,Bookcases,3.0,712.96,,-55.1,4
ORD-10277,2023-09-19,Home Office,South,Chennai,Furniture,Tables,2.0,1067.19,0.2,-23.8,3
ORD-10721,2024-01-18,Corporate,North,Chandigarh,Office Supplies,Storage,5.0,884.66,0.1,75.71,1
ORD-11062,2025-02-23,Corporate,South,Chennai,Furniture,Chairs,4.0,261.78,0.4,-48.66,1
ORD-10678,2023-07-25,Corporate,West,Mumbai,Office Supplies,Storage,8.0,1595.29,0.05,257.08,7
ORD-10599,2025-05-28,Home Office,South,Hyderabad,Office Supplies,Paper,7.0,172.62,0.2,4.16,1
ORD-10306,2024-09-06,Consumer,West,Ahmedabad,Furniture,Chairs,2.0,631.13,0.05,54.59,6
